City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,byron bay,-28.65,153.6167,22.41,83,84,3.3,AU,1679698937
182,rawson,-43.3002,-65.1023,23.54,27,7,4.23,AR,1679699093
183,kovernino,57.1253,43.8142,2.2,99,100,3.24,RU,1679699094
184,tiksi,71.6872,128.8694,-10.18,95,100,5.55,RU,1679699094
185,dalbandin,28.8947,64.4101,15.05,38,4,2.48,PK,1679699095
186,coihaique,-45.5752,-72.0662,13.97,47,75,4.12,CL,1679699031
187,tual,-5.6667,132.75,28.59,72,31,1.68,ID,1679699095
188,east london,-33.0153,27.9116,22.56,88,45,7.63,ZA,1679699096
189,matamoros,25.5333,-103.25,31.17,6,3,2.91,MX,1679698989
190,dudinka,69.4058,86.1778,-16.11,94,99,4.79,RU,1679699097
191,lubango,-14.9172,13.4925,15.82,95,100,0.74,AO,1679699097
192,victoria,22.2855,114.1577,25.67,89,49,1.79,HK,1679698947
193,fortuna,40.5982,-124.1573,9.96,69,40,7.2,US,1679699098
194,udachnyy,66.4167,112.4,-9.75,61,43,5.69,RU,1679699098
195,hella,67.2,14.4333,-5.92,68,30,4.63,NO,1679699098
196,lompoc,34.6391,-120.4579,18.16,68,2,11.62,US,1679699099
197,callaway,30.153,-85.5699,23.3,86,100,5.66,US,1679699099
198,kichera,55.9375,110.0997,-16.2,84,5,1.65,RU,1679699100
199,chunoyar,57.4467,97.3217,-4.59,95,100,3.81,RU,1679699100
200,sarakhs,36.5449,61.1577,13.66,27,100,3.45,IR,1679699100
201,bethel,41.3712,-73.414,10.98,49,97,0.45,US,1679699001
202,coahuayana,18.7333,-103.6833,29.21,49,88,2.95,MX,1679699101
203,torbay,47.6666,-52.7314,-1.9,95,100,12.35,CA,1679698999
204,kirksville,40.1948,-92.5833,9.34,59,100,5.66,US,1679699102
205,souillac,-20.5167,57.5167,24.21,88,20,1.54,MU,1679699104
206,mwanza,-2.5167,32.9,21.03,94,75,0.0,TZ,1679699105
207,kodiak,57.79,-152.4072,5.73,49,75,2.57,US,1679699106
208,tonbridge,51.1924,0.2753,10.45,52,97,3.58,GB,1679699106
209,bat khela,34.6167,71.9714,11.81,91,100,0.58,PK,1679699107
210,polonnaruwa,7.9333,81.0,22.68,95,66,1.28,LK,1679698940
211,zhezkazgan,47.8043,67.7144,2.13,78,0,3.23,KZ,1679699108
212,billings,45.7833,-108.5007,10.72,37,75,2.68,US,1679699051
213,yar-sale,66.8333,70.8333,-16.28,92,94,2.75,RU,1679699109
214,esperance,-33.8667,121.9,19.54,93,96,1.35,AU,1679698946
215,itoman,26.1247,127.6694,20.43,96,75,6.69,JP,1679699110
216,lagoa,39.05,-27.9833,12.56,81,100,7.19,PT,1679699111
217,olafsvik,64.8945,-23.7142,-2.29,71,78,10.92,IS,1679699112
218,krasnoye,49.9145,24.6134,13.09,72,100,3.86,UA,1679699112
219,boende,-0.2167,20.8667,21.6,99,100,1.27,CD,1679699113
220,sakakah,29.9697,40.2064,20.76,28,6,7.37,SA,1679699113
221,royal leamington spa,52.3,-1.5333,9.45,80,90,9.59,GB,1679699092
222,airai,-8.9266,125.4092,17.65,90,26,0.71,TL,1679699115
223,mandalgovi,45.7625,106.2708,-10.13,31,0,1.57,MN,1679699116
224,grivenskaya,45.6473,38.176,8.19,90,37,2.87,RU,1679699116
225,nouakchott,18.0858,-15.9785,20.96,82,0,6.44,MR,1679699117
226,george town,5.4112,100.3354,25.97,89,20,2.68,MY,1679699118
227,mount gambier,-37.8333,140.7667,15.31,65,80,3.8,AU,1679699118
228,ancud,-41.8697,-73.8203,12.97,94,100,1.28,CL,1679699119
229,alofi,-19.0595,-169.9187,29.94,70,40,4.12,NU,1679699120
230,margate,51.3813,1.3862,9.39,76,97,2.68,GB,1679699053
231,pevek,69.7008,170.3133,-24.94,95,65,1.47,RU,1679699121
232,whitley bay,55.0397,-1.4471,8.29,82,75,1.54,GB,1679699122
233,krasnokamensk,50.0979,118.0369,-17.75,97,28,1.23,RU,1679699122
234,susanville,40.4163,-120.653,4.91,40,75,5.66,US,1679699123
235,tomigusuku,26.185,127.675,20.3,96,75,6.69,JP,1679699123
236,luneburg,53.25,10.4,8.86,87,25,5.26,DE,1679699124
237,malumfashi,11.7853,7.6218,27.25,15,91,2.67,NG,1679699124
238,luderitz,-26.6481,15.1594,16.07,81,0,1.73,NA,1679699125
239,manggar,-2.8833,108.2667,25.7,81,100,1.79,ID,1679699125
240,letka,59.6011,49.4232,0.68,100,100,1.01,RU,1679699126
241,khandbari,27.3747,87.2039,14.54,64,48,1.45,NP,1679699128
242,hay river,60.8156,-115.7999,-10.02,62,20,6.69,CA,1679699128
243,itainopolis,-7.4469,-41.4783,26.73,61,84,0.19,BR,1679699129
244,gogrial,8.5332,28.1004,30.1,28,47,2.01,SS,1679699130
245,ostrovnoy,68.0531,39.5131,-10.76,91,86,3.85,RU,1679699131
246,daru,-9.0763,143.2092,26.98,81,96,1.0,PG,1679699131
247,sinnamary,5.3833,-52.95,25.02,84,91,4.04,GF,1679699132
248,adrar,20.5022,-10.0711,24.52,30,96,6.7,MR,1679699132
249,mragowo,53.8644,21.3051,7.0,92,98,2.45,PL,1679699133
250,arraial do cabo,-22.9661,-42.0278,26.92,78,0,5.14,BR,1679699134
251,ijevan,40.8783,45.1492,10.86,77,96,0.4,AM,1679699134
252,guarapari,-20.6667,-40.4975,26.05,86,0,3.9,BR,1679699135
253,kutulik,53.3508,102.7839,-12.25,96,100,1.13,RU,1679699136
254,paamiut,61.994,-49.6678,-8.67,89,46,2.8,GL,1679698997
255,soyo,-6.1349,12.3689,26.18,80,99,2.07,AO,1679699065
256,priiskovyy,51.9333,116.6333,-17.8,96,85,1.19,RU,1679699137
257,marienburg,54.0359,19.0266,9.38,92,88,3.72,PL,1679699138
258,kanungu,-0.9575,29.7897,15.09,94,79,1.61,UG,1679699138
259,batemans bay,-35.7167,150.1833,19.5,80,99,0.55,AU,1679699139
260,tura,25.5198,90.2201,18.27,73,0,1.76,IN,1679699139
261,gouyave,12.1646,-61.7296,25.43,78,20,4.63,GD,1679699140
262,roanoke rapids,36.4615,-77.6542,27.49,61,0,3.6,US,1679699140
263,la macarena,2.1837,-73.7849,29.9,41,96,1.19,CO,1679699140
264,dingle,10.9995,122.6711,25.9,85,50,3.65,PH,1679699141
265,winnipeg,49.8844,-97.147,0.99,78,20,6.71,CA,1679698723
266,belaya gora,68.5333,146.4167,-24.24,91,45,2.09,RU,1679699141
267,kashi,39.4547,75.9797,11.56,19,20,3.0,CN,1679699142
268,komsomolskiy,40.4272,71.7189,10.4,57,57,3.09,UZ,1679699142
269,dwarka,22.2394,68.9678,23.95,65,1,4.41,IN,1679699143
270,senanga,-16.1167,23.2667,19.33,94,100,2.35,ZM,1679699143
271,celestun,20.8667,-90.4,29.12,61,0,4.74,MX,1679699143
272,tanda,26.55,82.65,22.39,44,17,1.53,IN,1679699144
273,litovko,49.2361,135.1742,-9.95,91,47,0.64,RU,1679699144
274,mokolo,10.7398,13.8019,26.56,25,73,2.47,CM,1679699145
275,dalby,-27.1833,151.2667,26.66,48,64,1.25,AU,1679699146
276,cayenne,4.9333,-52.3333,27.02,74,0,3.6,GF,1679699069
277,jalu,29.0331,21.5482,15.47,57,1,7.55,LY,1679699146
278,san ciro de acosta,21.6333,-99.8167,38.02,9,36,4.9,MX,1679699147
279,euclides da cunha,-10.5075,-39.0158,21.46,88,76,2.09,BR,1679698889
280,aykhal,66.0,111.5,-11.69,89,59,6.38,RU,1679699147
281,lasa,46.6166,10.7002,9.46,97,100,1.83,IT,1679699148
282,dera bugti,29.0307,69.151,18.41,38,2,1.22,PK,1679699148
283,vila franca do campo,37.7167,-25.4333,16.23,91,100,8.12,PT,1679699148
284,northam,51.0333,-4.2167,9.1,87,53,11.62,GB,1679699149
285,cabedelo,-6.9811,-34.8339,27.37,81,50,3.72,BR,1679699149
286,mont-joli,48.5839,-68.1921,-0.28,74,75,6.69,CA,1679699150
287,copiapo,-27.3667,-70.3333,19.83,63,0,2.79,CL,1679699012
288,opuwo,-18.0607,13.84,19.82,59,85,2.21,NA,1679699150
289,skjervoy,70.0311,20.9714,-7.0,78,100,5.59,NO,1679699151
290,jizan,17.3333,42.6667,28.52,57,25,3.07,SA,1679699151
291,campina verde,-19.5356,-49.4864,24.34,70,39,1.91,BR,1679699152
292,hualmay,-11.0964,-77.6139,25.06,72,90,4.89,PE,1679699152
293,hamilton,39.1834,-84.5333,7.19,95,100,4.12,US,1679698587
294,jacareacanga,-6.2222,-57.7528,21.96,99,79,0.83,BR,1679699153
295,raudeberg,61.9875,5.1352,4.37,42,100,12.65,NO,1679699154
296,pisco,-13.7,-76.2167,24.03,78,75,7.2,PE,1679699154
297,burnie,-41.0667,145.9167,16.08,55,0,1.04,AU,1679699154
